66	31	0	2	2	1	1	1
21	32	0	2	2	1	1	2
23	33	0	2	2	1	1	3
22	34	0	2	2	1	1	4
22	73	0	2	2	1	1	5
23	74	0	2	2	1	1	6
65	75	0	2	2	1	1	7
24	76	0	2	2	1	1	8
21	31	0	2	2	1	2	9
24	32	0	2	2	1	2	10
66	33	0	2	2	1	2	11
64	34	0	2	2	1	2	12
24	73	0	2	2	1	2	13
64	74	0	2	2	1	2	14
21	75	0	2	2	1	2	15
66	76	0	2	2	1	2	16
24	31	0	2	2	1	3	17
63	32	0	2	2	1	3	18
22	33	0	2	2	1	3	19
21	34	0	2	2	1	3	20
65	73	0	2	2	1	3	21
64	74	0	2	2	1	3	22
22	75	0	2	2	1	3	23
63	76	0	2	2	1	3	24
65	31	0	2	2	1	4	25
64	32	0	2	2	1	4	26
21	33	0	2	2	1	4	27
63	34	0	2	2	1	4	28
65	73	0	2	2	1	4	29
24	74	0	2	2	1	4	30
22	75	0	2	2	1	4	31
21	76	0	2	2	1	4	32
66	31	0	2	2	1	5	33
23	32	0	2	2	1	5	34
22	33	0	2	2	1	5	35
22	34	0	2	2	1	5	36
63	73	0	2	2	1	5	37
64	74	0	2	2	1	5	38
66	75	0	2	2	1	5	39
65	76	0	2	2	1	5	40
63	31	0	2	2	1	6	41
24	32	0	2	2	1	6	42
63	33	0	2	2	1	6	43
23	34	0	2	2	1	6	44
23	73	0	2	2	1	6	45
65	74	0	2	2	1	6	46
63	75	0	2	2	1	6	47
66	76	0	2	2	1	6	48
23	31	0	2	2	1	7	49
66	32	0	2	2	1	7	50
64	33	0	2	2	1	7	51
24	34	0	2	2	1	7	52
21	73	0	2	2	1	7	53
23	74	0	2	2	1	7	54
65	75	0	2	2	1	7	55
64	76	0	2	2	1	7	56
