63	31	0	2	2	1	1	1
63	32	0	2	2	1	1	2
23	33	0	2	2	1	1	3
65	34	0	2	2	1	1	4
63	73	0	2	2	1	1	5
23	74	0	2	2	1	1	6
64	75	0	2	2	1	1	7
65	76	0	2	2	1	1	8
22	31	0	2	2	1	2	9
64	32	0	2	2	1	2	10
23	33	0	2	2	1	2	11
22	34	0	2	2	1	2	12
64	73	0	2	2	1	2	13
66	74	0	2	2	1	2	14
23	75	0	2	2	1	2	15
21	76	0	2	2	1	2	16
66	31	0	2	2	1	3	17
66	32	0	2	2	1	3	18
21	33	0	2	2	1	3	19
64	34	0	2	2	1	3	20
66	73	0	2	2	1	3	21
65	74	0	2	2	1	3	22
22	75	0	2	2	1	3	23
21	76	0	2	2	1	3	24
21	31	0	2	2	1	4	25
66	32	0	2	2	1	4	26
21	33	0	2	2	1	4	27
63	34	0	2	2	1	4	28
64	73	0	2	2	1	4	29
24	74	0	2	2	1	4	30
63	75	0	2	2	1	4	31
64	76	0	2	2	1	4	32
66	31	0	2	2	1	5	33
22	32	0	2	2	1	5	34
24	33	0	2	2	1	5	35
24	34	0	2	2	1	5	36
63	73	0	2	2	1	5	37
64	74	0	2	2	1	5	38
23	75	0	2	2	1	5	39
65	76	0	2	2	1	5	40
21	31	0	2	2	1	6	41
24	32	0	2	2	1	6	42
65	33	0	2	2	1	6	43
23	34	0	2	2	1	6	44
22	73	0	2	2	1	6	45
22	74	0	2	2	1	6	46
21	75	0	2	2	1	6	47
23	76	0	2	2	1	6	48
22	31	0	2	2	1	7	49
65	32	0	2	2	1	7	50
24	33	0	2	2	1	7	51
24	34	0	2	2	1	7	52
63	73	0	2	2	1	7	53
24	74	0	2	2	1	7	54
65	75	0	2	2	1	7	55
66	76	0	2	2	1	7	56
